n,seed,T,kernel,family,gap,C_kT,C_far
10,3,0.1,quench,quench,0.045105420574122146,0.14206675136474362,1.707770362291205e-11
10,3,0.1,"demon(L=4,Td=1)",local,0.0,0.30565371986769024,6.194996685550385e-12
10,3,0.1,"demon(L=4,Td=8)",local,1.5543122344752192e-15,0.36647485419476755,1.1714856222580111e-11
10,3,0.1,"dlp(t=.5,a=3)",informed,0.0,0.4450000615902796,5.466776072207627e-20
10,3,0.1,"dlp(t=.05,a=3)",informed,7.30526750203353e-14,0.2531777777979199,1.1233701489389377e-11
10,3,0.1,"dlp(t=0,a=3)",naive,0.0029732139811944336,0.0018372465886530682,1.077251826655204e-12
10,3,0.1,"softspin(c=.1,a=30)",informed,0.0002610763844748121,0.020519686974262447,6.941346653883657e-12
10,3,0.1,"softspin(c=1,a=30)",informed,1.5543122344752192e-15,0.39999627101532137,2.30890284836602e-13
10,3,0.1,shell(eps=2),oracle,0.0,0.9999999997799364,2.0457596459448137e-10
10,3,0.1,shell(eps=3),oracle,0.18691791979485284,0.2500000000157188,1.1690055301667713e-10
10,3,0.1,shell(eps=4),oracle,0.1552099403809133,0.16666666670334387,1.022879782716795e-10
